Startup Name,Description,Industries,Batch,Website
HelloSign,eSignature software for small and mid-market businesses.,"B2B, Productivity",W11,https://www.ycombinator.com/companies/HelloSign
Zenefits,"HR for small businesses: onboarding, payroll and benefits.","B2B, Human Resources",W13,https://www.ycombinator.com/companies/Zenefits
Gusto,Provides growing businesses with everything to take care of their team,"B2B, Human Resources",W12,https://www.ycombinator.com/companies/Gusto
Honeylove,Honeylove makes functional undergarments for women,"Consumer, Apparel and Cosmetics",S18,https://www.ycombinator.com/companies/Honeylove
Modern Fertility,At-home fertility test for women who aren't ready for kids right now…,"Healthcare, Consumer Health and Wellness",S17,https://www.ycombinator.com/companies/Modern-Fertility
Cognito,"Frictionless, modern identity verification that starts with just a…","B2B, Engineering, Product and Design",S14,https://www.ycombinator.com/companies/Cognito
OpenInvest,Values based personalization at scale for asset and wealth management,Fintech,S15,https://www.ycombinator.com/companies/OpenInvest
Meesho,Democratizing internet commerce for everyone in India,"B2B, Retail",S16,https://www.ycombinator.com/companies/Meesho
Mixpanel,Mixpanel is event analytics for builders that need answers.,"B2B, Analytics",S09,https://www.ycombinator.com/companies/Mixpanel
Paystack,Modern payments infrastructure for Africa,"Fintech, Payments",W16,https://www.ycombinator.com/companies/Paystack
Moxion Power Co.,Mobile Energy Storage Technology,"Industrials, Energy",W21,https://www.ycombinator.com/companies/Moxion-Power-Co.
DrChrono,The essential platform for modern medical practices and patients.,"Healthcare, Healthcare IT",W11,https://www.ycombinator.com/companies/DrChrono
OMGPop,An independent flash game studio.,"Consumer, Gaming",S06,https://www.ycombinator.com/companies/OMGPop
Newfront,Modern insurance brokerage.,"Fintech, Insurance",W18,https://www.ycombinator.com/companies/Newfront
North,Wearable computing hardware: biosignal gesture recognition,"Consumer, Virtual and Augmented Reality",W13,https://www.ycombinator.com/companies/North
Nowports,The core engine of supply chain in LATAM,"B2B, Supply Chain and Logistics",W19,https://www.ycombinator.com/companies/Nowports
Odeko,Our operations software makes it easier to run--and grow--your cafe,B2B,S19,https://www.ycombinator.com/companies/Odeko
GitPrime,Visibility and analytics for software development leaders.,"B2B, Engineering, Product and Design",W16,https://www.ycombinator.com/companies/GitPrime
Proxy,Smart ring digital wallet,"Consumer, Consumer Electronics",S16,https://www.ycombinator.com/companies/Proxy
FutureAdvisor,The online financial management service for everyone.,"Fintech, Consumer Finance",S10,https://www.ycombinator.com/companies/FutureAdvisor
Podium,Get more leads. Make more money.,"B2B, Retail",W16,https://www.ycombinator.com/companies/Podium
Rappi,On-demand delivery and financial services for Latin America.,"Consumer, Food and Beverage",W16,https://www.ycombinator.com/companies/Rappi
Razorpay,India's only full-stack financial solutions company for businesses.,"Fintech, Payments",W15,https://www.ycombinator.com/companies/Razorpay
Rippling,"One place to run all your HR, IT, and Finance. Globally.","B2B, Human Resources",W17,https://www.ycombinator.com/companies/Rippling
Scale AI,Data-centric infrastructure to accelerate the development of AI,"B2B, Engineering, Product and Design",S16,https://www.ycombinator.com/companies/Scale-AI
Scentbird,Scentbird is a luxury fragrance subscription service.,"Consumer, Apparel and Cosmetics",S15,https://www.ycombinator.com/companies/Scentbird
Scribd,World's largest online library.,"Consumer, Content",S06,https://www.ycombinator.com/companies/Scribd
ShipBob,Providing Amazon level logistics to e-commerce businesses.,"B2B, Supply Chain and Logistics",S14,https://www.ycombinator.com/companies/ShipBob
SmartAsset,Marketplace connecting consumers to financial advisors,"Fintech, Consumer Finance",S12,https://www.ycombinator.com/companies/SmartAsset
Stripe,Economic infrastructure for the internet.,Fintech,S09,https://www.ycombinator.com/companies/Stripe
Wave,Mobile money app for Africa,"Fintech, Payments",W12,https://www.ycombinator.com/companies/Wave
Webflow,Professional website design and publishing platform.,"B2B, Marketing",S13,https://www.ycombinator.com/companies/Webflow
Whatnot,Whatnot is the largest livestream shopping platform in the U.S.,Consumer,W20,https://www.ycombinator.com/companies/Whatnot
Zapier,The easiest way to automate your work.,"B2B, Productivity",S12,https://www.ycombinator.com/companies/Zapier
Zepto,10-Minute Grocery Delivery in India,"Consumer, Food and Beverage",W21,https://www.ycombinator.com/companies/Zepto
Focal Systems,Building the Operating System for B&M Retail using Deep Learning,"B2B, Retail",W16,https://www.ycombinator.com/companies/Focal-Systems
Mio,Mio powers seamless communication between workplace chat apps.,"B2B, Engineering, Product and Design",W16,https://www.ycombinator.com/companies/Mio
Daily,Conversational Voice and Multimodal AI built with Open Source,"B2B, Productivity",W16,https://www.ycombinator.com/companies/Daily
Petcube,Petcube is on the mission to improve lives of pets and pet owners…,"Consumer, Consumer Electronics",W16,https://www.ycombinator.com/companies/Petcube
Outschool,A live online learning platform that empowers kids ages 3–18.,Education,W16,https://www.ycombinator.com/companies/Outschool
Mason,Mason is the fastest way to take smart devices from idea to end user,B2B,W16,https://www.ycombinator.com/companies/Mason
MagicBus,We make vanpool simple.,"Consumer, Transportation Services",W16,https://www.ycombinator.com/companies/MagicBus
Tovala,A smart-oven-paired subscription meal service.,"Consumer, Home and Personal",W16,https://www.ycombinator.com/companies/Tovala
iSono Health,AI-powered platform for Accessible and Personalized Breast Health…,"Healthcare, Medical Devices",W16,https://www.ycombinator.com/companies/iSono-Health
GetAccept,Close deals faster. Digitally.,"B2B, Sales",W16,https://www.ycombinator.com/companies/GetAccept
Chatfuel,Platform to easily create chatbots to engage with audiences on…,"B2B, Engineering, Product and Design",W16,https://www.ycombinator.com/companies/Chatfuel
Yardbook,Marketplace & Software Revolutionizing Yard Care,"B2B, Finance and Accounting",W16,https://www.ycombinator.com/companies/Yardbook
GoCardless,We’re building the world’s bank payment network.,"Fintech, Consumer Finance",S11,https://www.ycombinator.com/companies/GoCardless
Stealth Worker,"Information Security (Cyber Security), Compliance and Privacy (GDPR &…","B2B, Recruiting and Talent",W16,https://www.ycombinator.com/companies/Stealth-Worker
Deepgram,Building foundational AI for speech transcription and understanding.,"B2B, Engineering, Product and Design",W16,https://www.ycombinator.com/companies/Deepgram
SOUNDBOKS,We're creating the loudest battery-driven speaker on the market,"Consumer, Consumer Electronics",W16,https://www.ycombinator.com/companies/SOUNDBOKS
Lattice,Modern people management platform.,"B2B, Human Resources",W16,https://www.ycombinator.com/companies/Lattice
Mux,Video infrastructure for developers,"B2B, Infrastructure",W16,https://www.ycombinator.com/companies/Mux
Human Interest,The 401(k) for small and medium-sized businesses.,"B2B, Human Resources",S15,https://www.ycombinator.com/companies/Human-Interest
Flirtey (SkyDrop),Flirtey is the world’s first commercial drone delivery service and…,"Industrials, Drones",S15,https://www.ycombinator.com/companies/Flirtey-(SkyDrop)
Eight Sleep,The sleep fitness company.,"Consumer, Home and Personal",S15,https://www.ycombinator.com/companies/Eight-Sleep
Instawork,A flexible work app that connects businesses with hourly workers.,"B2B, Recruiting and Talent",S15,https://www.ycombinator.com/companies/Instawork
Cofactor Genomics,Cofactor closes the precision medicine gap with predictive diagnostics,"Healthcare, Diagnostics",S15,https://www.ycombinator.com/companies/Cofactor-Genomics
Click & Grow,Click & Grow makes indoor urban gardens and farms that take complete…,"Consumer, Home and Personal",S15,https://www.ycombinator.com/companies/Click-&-Grow
Bitmovin,Powers OTT online video providers with video developer tools.,"B2B, Infrastructure",S15,https://www.ycombinator.com/companies/Bitmovin
TetraScience,The only R&D data cloud for life sciences,"Healthcare, Healthcare IT",S15,https://www.ycombinator.com/companies/TetraScience
The Ticket Fairy,Revenue generation for live events,"Consumer, Travel, Leisure and Tourism",S15,https://www.ycombinator.com/companies/The-Ticket-Fairy
HER,"HER helps lesbian, bisexual and queer people meet each other","Consumer, Social",S15,https://www.ycombinator.com/companies/HER
Font Awesome,Icons and social logos for your website.,"B2B, Engineering, Product and Design",S15,https://www.ycombinator.com/companies/Font-Awesome
"80,000 Hours",An online guide that tells talented graduates how to maximise the…,Unspecified,S15,"https://www.ycombinator.com/companies/80,000-Hours"
Xendit,Provides payment infrastructure for Southeast Asia,"Fintech, Payments",S15,https://www.ycombinator.com/companies/Xendit
Shred Video,Shred Video builds automated video & photo systems that allow…,"Consumer, Content",S15,https://www.ycombinator.com/companies/Shred-Video
Shape (ShapeScale),ShapeScale is a personal 3D scanner and fitness tracker that…,"Consumer, Consumer Electronics",S15,https://www.ycombinator.com/companies/Shape-(ShapeScale)
RedCarpetUp,Credit cards for Indians that banks cannot see,"Fintech, Consumer Finance",S15,https://www.ycombinator.com/companies/RedCarpetUp
Plate IQ,Automated Accounts Payable,"Fintech, Payments",S15,https://www.ycombinator.com/companies/Plate-IQ
PickTrace,Workforce Management for Large Farms,"Industrials, Agriculture",S15,https://www.ycombinator.com/companies/PickTrace
Fountain,High volume hiring made simple,"B2B, Recruiting and Talent",S15,https://www.ycombinator.com/companies/Fountain
MicroHealth,Digital hematology,"Healthcare, Consumer Health and Wellness",S15,https://www.ycombinator.com/companies/MicroHealth
Zeplin,Deliver on the Promise of Design,"B2B, Engineering, Product and Design",S15,https://www.ycombinator.com/companies/Zeplin
Markhor,Markhor is a DTC company that works with craftsmen to make shoes and…,"Consumer, Apparel and Cosmetics",S15,https://www.ycombinator.com/companies/Markhor
Circle Medical,Modern primary care via video and in-person,"Healthcare, Consumer Health and Wellness",S15,https://www.ycombinator.com/companies/Circle-Medical
GiveCampus,The fundraising platform for schools.,Education,S15,https://www.ycombinator.com/companies/GiveCampus
Drip Capital,Digital trade financing for small businesses,"Fintech, Credit and Lending",S15,https://www.ycombinator.com/companies/Drip-Capital
Chaldal,,"Consumer, Food and Beverage",S15,https://www.ycombinator.com/companies/Chaldal
Clerky,Makes legal paperwork easy for startups and their attorneys.,"B2B, Legal",S11,https://www.ycombinator.com/companies/Clerky
Bodyport,Predicting and preventing heart disease.,"Healthcare, Consumer Health and Wellness",S15,https://www.ycombinator.com/companies/Bodyport
Verge Genomics,We use human data and AI to develop better drugs faster.,"Healthcare, Drug Discovery and Delivery",S15,https://www.ycombinator.com/companies/Verge-Genomics
Thrive Agritech,We design and manufacture energy efficient LED lighting fixtures for…,"Industrials, Agriculture",S15,https://www.ycombinator.com/companies/Thrive-Agritech
Tesorio,Tesorio is the cash flow performance platform that helps finance…,"B2B, Finance and Accounting",S15,https://www.ycombinator.com/companies/Tesorio
AgileMD,Predictive analytics and clinical pathways for hospitals,"Healthcare, Healthcare IT",S11,https://www.ycombinator.com/companies/AgileMD
Reach Labs,"Long range, wireless energy distribution that scales","Industrials, Energy",S15,https://www.ycombinator.com/companies/Reach-Labs
SunFarmer,Reliable and affordable solar energy in developing countries.,"Industrials, Climate",S15,https://www.ycombinator.com/companies/SunFarmer
Confident LIMS,Laboratory Information Management System (LIMS) serving…,"B2B, Operations",S15,https://www.ycombinator.com/companies/Confident-LIMS
Branch8,Branch8 helps sellers to list and manage products on e-commerce…,"B2B, Retail",S15,https://www.ycombinator.com/companies/Branch8
Heroic Labs,"Social Infrastructure for Games; Makers of Nakama game server, Satori…","Consumer, Gaming",S15,https://www.ycombinator.com/companies/Heroic-Labs
SnapMagic,AI copilot for electronics design,"B2B, Engineering, Product and Design",S15,https://www.ycombinator.com/companies/SnapMagic
Scope AR,Scope AR is the leading provider of User Guided Augmented Reality…,"Consumer, Virtual and Augmented Reality",S15,https://www.ycombinator.com/companies/Scope-AR
PartnerStack,PartnerStack is a full stack solution for partnerships.,"B2B, Marketing",S15,https://www.ycombinator.com/companies/PartnerStack
Assembly,Advanced manufacturing and distribution solutions (for China-based…,"B2B, Supply Chain and Logistics",S15,https://www.ycombinator.com/companies/Assembly
Gemnote,"Gemnote is the easiest way to design, create and send custom products.","B2B, Office Management",S15,https://www.ycombinator.com/companies/Gemnote
New Story,We pioneer solutions to end the global housing crisis by empowering…,Real Estate and Construction,S15,https://www.ycombinator.com/companies/New-Story
Ironclad,Digital contracting platform for legal teams.,"B2B, Legal",S15,https://www.ycombinator.com/companies/Ironclad
Leaders In Tech (formerly InnerSpace),"Helping founders improve themselves, their companies, and the world.",Unspecified,S15,https://www.ycombinator.com/companies/Leaders-In-Tech-(formerly-InnerSpace)
teaBOT,A robot that makes tea!,"B2B, Human Resources",S15,https://www.ycombinator.com/companies/teaBOT
Teleport,"The easiest, most secure way to access all your infrastructure","B2B, Infrastructure",S15,https://www.ycombinator.com/companies/Teleport
Lugg,"Move anything, anytime, anywhere","Consumer, Home and Personal",S15,https://www.ycombinator.com/companies/Lugg
Shasqi,Targeting Cancer with Click Chemistry,"Healthcare, Drug Discovery and Delivery",W15,https://www.ycombinator.com/companies/Shasqi
Mashgin,Self-Checkout using Computer Vision.,"B2B, Retail",W15,https://www.ycombinator.com/companies/Mashgin
NimbleRx,On-demand prescription delivery.,"Healthcare, Consumer Health and Wellness",W15,https://www.ycombinator.com/companies/NimbleRx
Quartzy,Marketplace for life science supplies.,"Healthcare, Healthcare IT",S11,https://www.ycombinator.com/companies/Quartzy
Replika,Replika is an AI friend that you can talk to designed to make you…,"Consumer, Content",W15,https://www.ycombinator.com/companies/Replika
Tara AI,"Meet Tara AI, your new engineering efficiency co-pilot.","B2B, Productivity",W15,https://www.ycombinator.com/companies/Tara-AI
Flip,Community-driven marketplace for sneakers.,"Consumer, Apparel and Cosmetics",W15,https://www.ycombinator.com/companies/Flip
X-Zell,"Early, pain-free cancer detection.","Healthcare, Diagnostics",W15,https://www.ycombinator.com/companies/X-Zell
Transcriptic,The robotic cloud laboratory for the life sciences.,"Healthcare, Healthcare Services",W15,https://www.ycombinator.com/companies/Transcriptic
Zenflow,"Medical device that provides a more effective, less invasive…","Healthcare, Medical Devices",W15,https://www.ycombinator.com/companies/Zenflow
Tab,"Revolutionising the way travellers discover, plan and book a trip","Consumer, Travel, Leisure and Tourism",W15,https://www.ycombinator.com/companies/Tab
Priime,Priime is a company dedicated to advancements in technology around…,"Consumer, Social",W15,https://www.ycombinator.com/companies/Priime
Streak,Streak transforms Gmail into a powerful CRM,"B2B, Sales",S11,https://www.ycombinator.com/companies/Streak
Meadow,Point of Sale and Compliance SaaS for Cannabis Dispensaries,"B2B, Retail",W15,https://www.ycombinator.com/companies/Meadow
Level Frames,Software eats custom framing,"Consumer, Home and Personal",W15,https://www.ycombinator.com/companies/Level-Frames
Industrial Microbes,We design and build microbes to make chemicals greener at lower cost.,"Healthcare, Industrial Bio",W15,https://www.ycombinator.com/companies/Industrial-Microbes
Giveffect,"Fundraising, Volunteer and Donor Management SaaS for nonprofits.","B2B, Finance and Accounting",W15,https://www.ycombinator.com/companies/Giveffect
eBrandvalue,Real-time Nielsen ratings for Brands.Accelerate marketing and product…,"B2B, Marketing",W15,https://www.ycombinator.com/companies/eBrandvalue
Quantierra,Sourcing investment real estate,"Real Estate and Construction, Housing and Real Estate",W15,https://www.ycombinator.com/companies/Quantierra
Cleanly,Laundry & Dry Cleaning delivered.,"Consumer, Home and Personal",W15,https://www.ycombinator.com/companies/Cleanly
Resolve,"VR simulations for operations, maintenance and construction teams.","Real Estate and Construction, Construction",W15,https://www.ycombinator.com/companies/Resolve
Makrwatch,Scale new user acquisition with YouTube Creators,"B2B, Marketing",W15,https://www.ycombinator.com/companies/Makrwatch
TeamNote,Mobile Productivity(Slack for mobile workforces),"B2B, Productivity",W15,https://www.ycombinator.com/companies/TeamNote
Tempo,Live home fitness training powered by computer vision.,"Healthcare, Consumer Health and Wellness",W15,https://www.ycombinator.com/companies/Tempo
SIRUM,SIRUM is a “match.com” for unused medicine. We connect institutional…,Unspecified,W15,https://www.ycombinator.com/companies/SIRUM
Sails Co.,"Full-service web, mobile, & cloud studio providing professional…","B2B, Engineering, Product and Design",W15,https://www.ycombinator.com/companies/Sails-Co.
ReadMe,"Beautiful, personalized, interactive developer hubs","B2B, Engineering, Product and Design",W15,https://www.ycombinator.com/companies/ReadMe
BuildScience,The operating system for commercial buildings.,"Real Estate and Construction, Housing and Real Estate",W15,https://www.ycombinator.com/companies/BuildScience
Platzi,Latin America's School of Technology,Education,W15,https://www.ycombinator.com/companies/Platzi
Labdoor,Labdoor is building the trusted online drugstore.,"Consumer, Food and Beverage",W15,https://www.ycombinator.com/companies/Labdoor
GiveMeTap,We produce & sell stainless steel water bottles that enables people…,"Consumer, Home and Personal",W15,https://www.ycombinator.com/companies/GiveMeTap
Bankjoy,An end-to-end digital banking solution for banks and credit unions,"Fintech, Banking and Exchange",W15,https://www.ycombinator.com/companies/Bankjoy
Zeitview,Inspection software for renewable energy & sustainable infrastructure,"Industrials, Drones",W15,https://www.ycombinator.com/companies/Zeitview
The Human Utility,The Human Utility seeks to eliminate water service disconnections for…,Unspecified,W15,https://www.ycombinator.com/companies/The-Human-Utility
Democracy Earth,Censorship resistant democracies.,Unspecified,W15,https://www.ycombinator.com/companies/Democracy-Earth
OneSignal,Engage customers through personalized omni-channel messaging,"B2B, Marketing",S11,https://www.ycombinator.com/companies/OneSignal
Atomwise,Artificial intelligence for drug discovery.,"Healthcare, Drug Discovery and Delivery",W15,https://www.ycombinator.com/companies/Atomwise
Bright,Sunrun for the developing world,"Industrials, Energy",W15,https://www.ycombinator.com/companies/Bright
Magic,Extremely talented assistants for busy people,B2B,W15,https://www.ycombinator.com/companies/Magic
Mezmo,Observability platform to control all of your log data,"B2B, Infrastructure",W15,https://www.ycombinator.com/companies/Mezmo
Akido Labs,"Unlocking data to tackle homelessness, chronic disease, and more","Healthcare, Healthcare IT",W15,https://www.ycombinator.com/companies/Akido-Labs
Qventus,We automate operations for hospitals and health systems,"Healthcare, Healthcare IT",W15,https://www.ycombinator.com/companies/Qventus
Bayes Impact,Tech nonprofit building the future of public services.,Unspecified,S14,https://www.ycombinator.com/companies/Bayes-Impact
Helion Energy,Building the world's first fusion power plant,"Industrials, Energy",S14,https://www.ycombinator.com/companies/Helion-Energy
HackerRank,Accelerate the World's Innovation,"B2B, Recruiting and Talent",S11,https://www.ycombinator.com/companies/HackerRank
Front,Customer communications hub for building strong relationships,"B2B, Productivity",S14,https://www.ycombinator.com/companies/Front
Apollo,Apollo helps engineering teams accelerate delivery,"B2B, Infrastructure",S11,https://www.ycombinator.com/companies/Apollo
Roomstorm,Real time B2B hotel room marketplace for various industries…,"Consumer, Travel, Leisure and Tourism",S14,https://www.ycombinator.com/companies/Roomstorm
Hive,Email and SMS marketing platform,"B2B, Marketing",S14,https://www.ycombinator.com/companies/Hive
Tenjin,Mobile marketing analytics and infrastructure,"B2B, Marketing",S14,https://www.ycombinator.com/companies/Tenjin
SpotAngels,Waze for parking,"Consumer, Transportation Services",S14,https://www.ycombinator.com/companies/SpotAngels
UserGems,AI-powered sales solution based on your best customers,"B2B, Recruiting and Talent",S14,https://www.ycombinator.com/companies/UserGems
SFOX,Crypto-currency trading platform.,"Fintech, Banking and Exchange",S14,https://www.ycombinator.com/companies/SFOX
PicnicHealth,Empowering Patients for Deep Real World Data,Healthcare,S14,https://www.ycombinator.com/companies/PicnicHealth
Permutive,Rebuilding data in advertising to protect privacy,"B2B, Marketing",S14,https://www.ycombinator.com/companies/Permutive
Hiro Systems,Hiro Systems build developer tools for Bitcoin L1 and the Stacks L2,"B2B, Infrastructure",S14,https://www.ycombinator.com/companies/Hiro-Systems
Alchemy,Nanotechnology-enabled coatings for automotive and defence sectors,"Industrials, Manufacturing and Robotics",S14,https://www.ycombinator.com/companies/Alchemy
MTailor,Get measured by your phone in under 30 seconds for perfect fitting…,"Consumer, Apparel and Cosmetics",S14,https://www.ycombinator.com/companies/MTailor
MetricWire,Mobile surveys for researchers,"Healthcare, Healthcare IT",S14,https://www.ycombinator.com/companies/MetricWire
Protocol Labs,"Protocol Labs makes internet protocols: IPFS, Filecoin, and more.","B2B, Infrastructure",S14,https://www.ycombinator.com/companies/Protocol-Labs
Greentoe,"""Name Your Price"" for products","Consumer, Consumer Electronics",S14,https://www.ycombinator.com/companies/Greentoe
Hyperpad,"Create, Share, Play Mobile Games on the iPad.","Consumer, Gaming",S14,https://www.ycombinator.com/companies/Hyperpad
Flaviar,Try-at-home service for fine spirits,"Consumer, Food and Beverage",S14,https://www.ycombinator.com/companies/Flaviar
Clear,"Fintech SaaS platform for invoices, taxes, wealth management & credit.","Fintech, Consumer Finance",S14,https://www.ycombinator.com/companies/Clear
Billforward,"Subscription billing, rate plan management and analytics as a…","Fintech, Payments",S14,https://www.ycombinator.com/companies/Billforward
Backpack,Marketplace to get stuff from overseas,"Consumer, Home and Personal",S14,https://www.ycombinator.com/companies/Backpack
Aptible,The No Infrastructure Platform as a Service,"B2B, Infrastructure",S14,https://www.ycombinator.com/companies/Aptible
Immunity Project,The free HIV vaccine.,Unspecified,W14,https://www.ycombinator.com/companies/Immunity-Project
Dyspatch,Two products to help everyone email better. Dyspatch.io - Email…,"B2B, Marketing",W14,https://www.ycombinator.com/companies/Dyspatch
OpenCurriculum,Helping K-12 teachers and school administrators build awesome…,Unspecified,W14,https://www.ycombinator.com/companies/OpenCurriculum
MixerBox,AI Super-Apps to Live Easier | The anything anytime superapps…,Consumer,W14,https://www.ycombinator.com/companies/MixerBox
